Rented Bike Count,demand_lag_1h,demand_lag_24h,demand_lag_168h,demand_rolling_3h_mean,demand_rolling_24h_std,demand_rolling_24h_max,Temperature(°C),temp_squared,temp_x_hour,hour_sin,hour_cos,day_of_week_sin,day_of_week_cos,month_sin,month_cos,is_rush_hour,is_evening_rush,time_of_day_evening,Humidity(%),Visibility (10m),Solar Radiation (MJ/m2),is_comfortable_weather,has_precipitation,bad_weather,is_weekend,is_holiday,is_functioning,Season_Spring,Season_Summer,Season_Winter,target
233,259.0,198.0,254.0,350.0,188.6671739763755,795.0,-3.5,12.25,-0.0,0.0,1.0,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,0,0,49,1893,0.0,0,0,0,0,0,1,False,False,True,233
230,233.0,218.0,204.0,293.6666666666667,187.52290681330163,795.0,-3.7,13.69,-3.7,0.2588190451025207,0.9659258262890684,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,0,0,50,1902,0.0,0,0,0,0,0,1,False,False,True,230
131,230.0,149.0,173.0,240.66666666666663,187.1499437597442,795.0,-4.3,18.49,-8.6,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,0,0,53,1918,0.0,0,0,0,0,0,1,False,False,True,131
99,131.0,102.0,107.0,198.0,188.0584822698068,795.0,-4.8,23.04,-14.4,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,0,0,52,1978,0.0,0,0,0,0,0,1,False,False,True,99
71,99.0,62.0,78.0,153.33333333333334,188.2365484925971,795.0,-5.3,28.09,-21.2,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,0,0,53,1936,0.0,0,0,0,0,0,1,False,False,True,71
84,71.0,83.0,100.0,100.33333333333331,187.63068875404923,795.0,-5.8,33.64,-29.0,0.9659258262890684,0.2588190451025207,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,0,0,56,1941,0.0,0,0,0,0,0,1,False,False,True,84
158,84.0,137.0,181.0,84.66666666666667,187.56714256770707,795.0,-6.0,36.0,-36.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,0,0,0,56,1853,0.0,0,0,0,0,0,1,False,False,True,158
387,158.0,367.0,460.0,104.33333333333331,186.53893792535357,795.0,-6.5,42.25,-45.5,0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,1,0,0,57,1776,0.0,0,0,0,0,0,1,False,False,True,387
780,387.0,754.0,930.0,209.66666666666663,186.62282740904172,795.0,-7.0,49.0,-56.0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,1,0,0,59,1559,0.01,0,0,0,0,0,1,False,False,True,780
395,780.0,415.0,490.0,441.6666666666667,189.072334904097,795.0,-6.7,44.89,-60.3,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,-2.4492935982947064e-16,1.0,1,0,0,50,1492,0.23,0,0,0,0,0,1,False,False,True,395
